OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-3158,2021-104AA,2026-04-23T00:19:42.665664,15.08843684,.00014295,53.2190,20.1392,91.7992,268.3164,0,U,49432,999,24546,-.30018646E-4,-.766E-5,0
STARLINK-3079,2021-104AB,2026-04-23T03:30:26.558208,15.08846964,.00017489,53.2200,9.5493,105.9797,254.1388,0,U,49433,999,24671,.12865298E-3,.176E-4,0
STARLINK-3134,2021-104AC,2026-04-23T01:25:56.108352,15.08835037,.00015713,53.2187,30.0931,88.9908,271.1264,0,U,49434,999,24641,.6578669E-5,-.183E-5,0
STARLINK-3117,2021-104AD,2026-04-23T03:37:08.504832,15.08823570,.00017474,53.2194,9.5288,81.7500,278.3690,0,U,49435,999,24562,-.12013656E-3,-.2199E-4,0
STARLINK-3049,2021-104AE,2026-04-23T00:24:58.294368,15.08832180,.00013347,53.2185,10.1287,98.5206,261.5937,0,U,49436,999,24560,-.5536448E-5,-.376E-5,0
STARLINK-3130,2021-104AF,2026-04-23T01:49:45.443424,15.08833581,.00014233,53.2180,9.8625,87.6998,272.4157,0,U,49437,999,24561,-.13334585E-4,-.5E-5,0
STARLINK-3044,2021-104AG,2026-04-23T03:10:36.672960,15.08833824,.00015983,53.2191,9.5417,89.7951,270.3225,0,U,49438,999,24562,-.51489275E-4,-.1107E-4,0
STARLINK-3105,2021-104AJ,2026-04-23T03:14:32.525088,15.08834252,.00014881,53.2194,9.5971,90.9816,269.1347,0,U,49440,999,24562,-.29560666E-4,-.758E-5,0
STARLINK-3128,2021-104AK,2026-04-22T23:37:16.120704,15.08842887,.00016599,53.2188,10.2696,91.9510,268.1672,0,U,49441,999,24560,-.4247895E-4,-.964E-5,0
STARLINK-3098,2021-104AL,2026-04-23T03:09:14.456448,15.08830716,.00013122,53.2185,9.6137,90.1719,269.9424,0,U,49442,999,24562,.25776735E-4,.122E-5,0
STARLINK-3136,2021-104AM,2026-04-23T02:41:08.238624,15.09120410,.00011482,53.2170,9.6887,89.3761,270.7363,0,U,49443,999,24562,.90070059E-3,.14186E-3,0
STARLINK-3126,2021-104AN,2026-04-23T03:05:19.329216,15.08835618,.00016699,53.2197,9.6351,94.9318,265.1865,0,U,49444,999,24562,-.67037919E-4,-.1355E-4,0
STARLINK-3122,2021-104AP,2026-04-23T02:42:52.244352,15.08835419,.00016924,53.2184,20.0911,88.6140,271.5046,0,U,49445,999,24547,.23073057E-4,.79E-6,0
STARLINK-3099,2021-104AQ,2026-04-23T02:58:38.598240,15.08836558,.00015602,53.2167,9.6456,88.5214,271.5957,0,U,49446,999,24562,-.18243624E-4,-.578E-5,0
STARLINK-3115,2021-104AR,2026-04-23T00:02:26.772864,15.08838398,.00020846,53.2185,20.1944,90.4873,269.6358,0,U,49447,999,24546,.5451874E-4,.58E-5,0
